_id,ANNO,ATENEO_CODICE,ATENEO_NOME,ATENEO_REGIONE,STUDENTI
ObjectId("5b1d949c66f28114a0dfc282"),2014,102,Torino Politecnico,Piemonte,29446
ObjectId("5b1d94a566f28114a0dffaa5"),2015,102,Torino Politecnico,Piemonte,30183
ObjectId("5b1d94a566f28114a0dffab7"),2015,1502,Milano Politecnico,Lombardia,41109
ObjectId("5b1d94ac66f28114a0dffbc2"),2016,1502,Milano Politecnico,Lombardia,42665
ObjectId("5b1d949c66f28114a0dfee04"),2014,6901,Chieti e Pescara,Abruzzo,27295
ObjectId("5b1d94ac66f28114a0dffe47"),2016,6901,Chieti e Pescara,Abruzzo,24947
ObjectId("5b1d94a566f28114a0dffb33"),2015,6901,Chieti e Pescara,Abruzzo,25426
ObjectId("5b1d94a566f28114a0dffac5"),2015,1601,Bergamo,Lombardia,15614
ObjectId("5b1d94ac66f28114a0dffd10"),2016,5202,Siena Stranieri,Toscana,1864
ObjectId("5b1d94ac66f28114a0dffc0c"),2016,1601,Bergamo,Lombardia,16715
ObjectId("5b1d949c66f28114a0dfdf98"),2014,5202,Siena Stranieri,Toscana,1384
ObjectId("5b1d94a566f28114a0dffaf3"),2015,5202,Siena Stranieri,Toscana,1621
ObjectId("5b1d949c66f28114a0dfef19"),2014,7101,Foggia,Puglia,9174
ObjectId("5b1d94ac66f28114a0dffc94"),2016,3601,Modena e Reggio Emilia,Emilia-Romagna,22065
ObjectId("5b1d94ac66f28114a0dffe7c"),2016,7202,Bari Politecnico,Puglia,9621
ObjectId("5b1d94a566f28114a0dffadd"),2015,3601,Modena e Reggio Emilia,Emilia-Romagna,20778
ObjectId("5b1d94a566f28114a0dffb37"),2015,7101,Foggia,Puglia,8983
ObjectId("5b1d949c66f28114a0dfd471"),2014,3601,Modena e Reggio Emilia,Emilia-Romagna,19673
ObjectId("5b1d94ac66f28114a0dffe66"),2016,7101,Foggia,Puglia,9444
ObjectId("5b1d949c66f28114a0dfcb2a"),2014,1601,Bergamo,Lombardia,14855
ObjectId("5b1d949c66f28114a0dfd8b7"),2014,4101,Urbino Carlo Bo,Marche,13877
ObjectId("5b1d94ac66f28114a0dffcb8"),2016,4101,Urbino Carlo Bo,Marche,13703
ObjectId("5b1d94a566f28114a0dffae3"),2015,4101,Urbino Carlo Bo,Marche,13813
ObjectId("5b1d94a566f28114a0dffab3"),2015,1301,Novedrate e-Campus,Lombardia,7840
ObjectId("5b1d949c66f28114a0dfc626"),2014,1301,Novedrate e-Campus,Lombardia,7624
ObjectId("5b1d94ac66f28114a0dffbac"),2016,1301,Novedrate e-Campus,Lombardia,8925
ObjectId("5b1d94a566f28114a0dffb0b"),2015,5810,Roma Marconi,Lazio,14141
ObjectId("5b1d94ac66f28114a0dffd80"),2016,5810,Roma Marconi,Lazio,8169
ObjectId("5b1d949c66f28114a0dfe701"),2014,5810,Roma Marconi,Lazio,13993
ObjectId("5b1d94a566f28114a0dffadf"),2015,3701,Bologna,Emilia-Romagna,78026
ObjectId("5b1d949c66f28114a0dfd550"),2014,3701,Bologna,Emilia-Romagna,76890
ObjectId("5b1d94ac66f28114a0dffcfa"),2016,5001,Pisa,Toscana,44846
ObjectId("5b1d94a566f28114a0dffaef"),2015,5001,Pisa,Toscana,44923
ObjectId("5b1d949c66f28114a0dfdcb5"),2014,5001,Pisa,Toscana,45279
ObjectId("5b1d949c66f28114a0dfedbc"),2014,6701,Teramo,Abruzzo,6223
ObjectId("5b1d94a566f28114a0dffb31"),2015,6701,Teramo,Abruzzo,5999
ObjectId("5b1d94ac66f28114a0dffca0"),2016,3701,Bologna,Emilia-Romagna,78657
ObjectId("5b1d94ac66f28114a0dffe3b"),2016,6701,Teramo,Abruzzo,6052
ObjectId("5b1d94a566f28114a0dffb09"),2015,5809,Roma UNINT,Lazio,1402
ObjectId("5b1d94ac66f28114a0dffd7a"),2016,5809,Roma UNINT,Lazio,1377
ObjectId("5b1d949c66f28114a0dfe6ee"),2014,5809,Roma UNINT,Lazio,1294
ObjectId("5b1d949c66f28114a0dfeabd"),2014,6304,Napoli Benincasa,Campania,7953
ObjectId("5b1d94a566f28114a0dffb27"),2015,6304,Napoli Benincasa,Campania,8019
ObjectId("5b1d94a566f28114a0dffacb"),2015,2101,Bolzano,Trentino-Alto Adige,3032
ObjectId("5b1d94ac66f28114a0dffc30"),2016,2101,Bolzano,Trentino-Alto Adige,3287
ObjectId("5b1d94ac66f28114a0dffe01"),2016,6304,Napoli Benincasa,Campania,8139
ObjectId("5b1d949c66f28114a0dfcd15"),2014,2101,Bolzano,Trentino-Alto Adige,2632
ObjectId("5b1d949c66f28114a0dfecbe"),2014,6601,L'Aquila,Abruzzo,20880
ObjectId("5b1d94a566f28114a0dffb2f"),2015,6601,L'Aquila,Abruzzo,18063
ObjectId("5b1d94ac66f28114a0dffcac"),2016,3801,Ferrara,Emilia-Romagna,15488
ObjectId("5b1d94a566f28114a0dffae1"),2015,3801,Ferrara,Emilia-Romagna,15455
ObjectId("5b1d94a566f28114a0dffb57"),2015,6902,Torrevecchia Teatina - Leonardo da Vinci,Abruzzo,98
ObjectId("5b1d94ac66f28114a0dffe2f"),2016,6601,L'Aquila,Abruzzo,16919
ObjectId("5b1d94ac66f28114a0dffe53"),2016,6902,Torrevecchia Teatina - Leonardo da Vinci,Abruzzo,134
ObjectId("5b1d949c66f28114a0dfd7f5"),2014,3801,Ferrara,Emilia-Romagna,15515
ObjectId("5b1d949c66f28114a0dfda18"),2014,4301,Macerata,Marche,9685
ObjectId("5b1d94ac66f28114a0dffcd0"),2016,4301,Macerata,Marche,10161
ObjectId("5b1d94a566f28114a0dffae7"),2015,4301,Macerata,Marche,9956
ObjectId("5b1d949c66f28114a0dfc655"),2014,1501,Milano,Lombardia,60440
ObjectId("5b1d94a566f28114a0dffab5"),2015,1501,Milano,Lombardia,60134
ObjectId("5b1d94ac66f28114a0dffdae"),2016,5815,Roma UNICUSANO,Lazio,20647
ObjectId("5b1d949c66f28114a0dfe0f9"),2014,5403,Perugia Stranieri,Umbria,936
ObjectId("5b1d94a566f28114a0dffb15"),2015,5815,Roma UNICUSANO,Lazio,17322
ObjectId("5b1d949c66f28114a0dfe786"),2014,5815,Roma UNICUSANO,Lazio,14872
ObjectId("5b1d94a566f28114a0dffb39"),2015,7201,Bari,Puglia,46011
ObjectId("5b1d94ac66f28114a0dffd20"),2016,5403,Perugia Stranieri,Umbria,875
ObjectId("5b1d94a566f28114a0dffaf7"),2015,5403,Perugia Stranieri,Umbria,858
ObjectId("5b1d94ac66f28114a0dffe70"),2016,7201,Bari,Puglia,44278
ObjectId("5b1d949c66f28114a0dfef7d"),2014,7201,Bari,Puglia,48371
ObjectId("5b1d94ac66f28114a0dffbb6"),2016,1501,Milano,Lombardia,59596
